Kecamatan,Jumlah_Penduduk,Proporsi_Penduduk_Laki,Curah_Hujan,Suhu,Kelembaban,GoldarA,GoldarB,GoldarAB,GoldarO,Tamat_SD,Tamat_SMP,Tamat_SMA,Tamat_Kuliah,Insiden_Rate_(/100000_Penduduk),Tahun,Label_rate
Bandung Wetan,28793,0.498767061,179.3,23.5,75,4481,3071,1668,5150,2348,3083,10091,13174,121.557323,2018,3
Batununggal,119959,0.501688077,179.3,23.5,75,18626,9495,5350,15734,13851,18742,41408,60150,135.0461408,2018,4
Bojongloa Kaler,122927,0.508334215,179.3,23.5,75,8009,7034,5301,13303,20105,20081,37595,57676,72.40069309,2018,2
Bojongloa Kidul,84836,0.507732566,179.3,23.5,75,8561,4256,2563,7761,15752,12722,23350,36072,99.01456929,2018,3
Buahbatu,99461,0.500859633,179.3,23.5,75,15613,11111,5196,17718,10783,11282,28409,39691,131.7099164,2018,4
Cibeunying Kaler,69077,0.498907017,179.3,23.5,75,12258,9126,4548,14512,6439,7781,23964,31745,162.1379041,2018,5
Cibeunying Kidul,111140,0.501898506,179.3,23.5,75,10026,6799,3372,11940,11963,15774,37466,53240,199.7480655,2018,6
Cibiru,72010,0.509109846,179.3,23.5,75,9173,5104,2938,8979,9933,10473,22898,33371,145.8130815,2018,4
Cicendo,94998,0.503631655,179.3,23.5,75,11596,8760,4509,15801,11281,12419,32938,45357,97.89679783,2018,3
Cidadap,53011,0.5075739,179.3,23.5,75,5376,3621,2007,7393,8323,6324,17107,23431,84.8880421,2018,2
Cinambo,24812,0.509995164,179.3,23.5,75,1324,1434,758,2627,3120,3684,7948,11632,96.72738997,2018,3
Coblong,112337,0.502826317,179.3,23.5,75,17631,11118,5982,20434,11970,13240,39762,53002,166.4634092,2018,5
Gedebage,39640,0.504969728,179.3,23.5,75,4812,3879,1764,5900,4011,5201,9846,15047,141.271443,2018,4
Kiaracondong,128574,0.501228864,179.3,23.5,75,18243,11807,6414,19718,16711,18276,45353,63629,136.1083889,2018,4
Lengkong,70504,0.495716555,179.3,23.5,75,14886,13096,5811,19098,4972,7572,22629,30201,127.6523318,2018,4
Mandalajati,69501,0.504266126,179.3,23.5,75,6072,3831,2705,9150,9057,9980,21077,31057,136.6886807,2018,4
Panyileukan,38633,0.504154479,179.3,23.5,75,4603,4295,1888,6864,2873,4266,12515,16781,124.2461108,2018,4
Rancasari,82029,0.497958039,179.3,23.5,75,14027,9772,4119,15298,8318,8900,22759,31659,121.9081057,2018,3
Regol,79470,0.500163584,179.3,23.5,75,12478,8241,4092,14348,7580,9571,27949,37520,100.6669183,2018,3
Sukajadi,100784,0.501478409,179.3,23.5,75,14286,10053,5239,17913,14112,13367,31734,45101,94.26099381,2018,3
Sukasari,76256,0.499947545,179.3,23.5,75,11084,8939,3898,14008,8780,8011,22357,30368,114.0893831,2018,3
Sumur Bandung,36233,0.503104904,179.3,23.5,75,4476,3891,1821,7183,3018,4277,14433,18710,113.1565148,2018,3
Ujung Berung,84552,0.502649257,179.3,23.5,75,9848,8031,4162,14186,10404,12755,24951,37706,95.79903491,2018,3
Andir,99132,0.501220595,223.3,23.6,74.4,10872,7738,3954,14483,11793,15320,35640,50960,78.68296816,2019,2
Antapani,78564,0.498765338,223.3,23.6,74.4,15819,13348,5793,20120,6016,7934,23102,31036,271.1165419,2019,8
Arcamanik,76239,0.501042773,223.3,23.6,74.4,13096,9806,4735,15965,8039,9192,21760,30952,316.1111767,2019,9
Astana Anyar,74078,0.501187937,223.3,23.6,74.4,7599,6561,3673,13246,8479,11232,26253,37485,129.5931316,2019,4
Babakan Ciparay,138788,0.510015275,270.7,23.6,74.4,15525,5783,3640,11770,29541,23064,35649,58713,93.66804046,2019,3
Bandung Kidul,59698,0.500150759,82.4,23.6,74.4,7990,6237,3004,11123,6640,8469,18870,27339,184.2607793,2019,5
Bandung Kulon,132811,0.505560533,313.5,23.6,74.4,14532,13439,6083,20644,24042,21520,35289,56809,70.77726996,2019,2
Bandung Wetan,28917,0.498495695,298.9,23.6,74.4,4489,3279,1749,5509,2322,2922,10463,13385,214.4067504,2019,6
Batununggal,120900,0.501745244,298.9,23.6,74.4,18700,10525,5885,17583,13585,20466,42466,62932,159.6360629,2019,4
Bojongloa Kaler,123467,0.507852301,0,23.6,74.4,8878,7847,5760,15249,20070,20479,38723,59202,121.4899528,2019,3
Bojongloa Kidul,85639,0.507584161,270.7,23.6,74.4,8606,4539,2716,8353,15527,13094,24009,37103,133.116921,2019,4
Buahbatu,101022,0.50025737,270.7,23.6,74.4,16201,11998,5627,19549,10866,11533,28876,40409,199.9564451,2019,6
Cibeunying Kaler,69783,0.49845951,269.1,23.6,74.4,12574,10014,4963,16069,6720,8489,23925,32414,179.1267214,2019,5
Cibeunying Kidul,112903,0.502147861,223.3,23.6,74.4,10555,7517,3650,13215,11878,16987,38336,55323,182.4575078,2019,5
Cibiru,72791,0.506820898,0.2,23.6,74.4,9405,5514,3193,9762,9698,10625,23395,34020,237.6667445,2019,7
Cicendo,96008,0.503155987,298.9,23.6,74.4,11980,9391,4844,17039,11255,12608,34001,46609,114.5737855,2019,3
Cidadap,53622,0.507515572,298.9,23.6,74.4,5607,3840,2113,7812,8311,6835,17558,24393,218.1940248,2019,6
Cinambo,25101,0.508864189,82.4,23.6,74.4,1484,1600,855,2868,3097,3717,8186,11903,278.8733517,2019,8
Coblong,114163,0.503192803,269.3,23.6,74.4,17830,11784,6264,21594,11960,14168,41316,55484,230.3723623,2019,6
Gedebage,40121,0.504897685,269.3,23.6,74.4,5019,4267,1945,6570,4049,5282,10116,15398,259.215872,2019,7
Kiaracondong,130075,0.50146454,269.3,23.6,74.4,18048,12021,6501,20145,16823,18805,45864,64669,236.7864693,2019,7
Lengkong,71295,0.496626692,231.7,23.6,74.4,14709,13387,5930,19987,4978,7820,22875,30695,179.5357318,2019,5
Mandalajati,70958,0.503889625,313.5,23.6,74.4,6620,5960,2992,10036,9164,10404,21851,32255,201.5276643,2019,6
Panyileukan,39277,0.503398936,313.5,23.6,74.4,4824,4513,1949,7152,2949,4358,12639,16997,196.043486,2019,5
Rancasari,83428,0.496931486,223.3,23.6,74.4,14053,10367,4384,16381,8492,8984,23574,32558,171.4052836,2019,5
Regol,80141,0.499681811,231.7,23.6,74.4,12363,8543,4256,14923,7381,9893,28252,38145,149.7360901,2019,4
Sukajadi,101315,0.501584168,231.7,23.6,74.4,14667,11039,5750,19925,13989,14081,32199,46280,204.3132804,2019,6
Sukasari,76942,0.499727067,231.7,23.6,74.4,10959,9190,4043,14594,8685,8257,22978,31235,228.743729,2019,6
Sumur Bandung,37061,0.501227706,53,23.6,74.4,4787,4354,2067,7949,3019,4585,14617,19202,132.2144572,2019,4
Ujung Berung,86225,0.502244129,13.6,23.6,74.4,10067,8421,4324,14967,10606,12797,25959,38756,257.4659322,2019,7
Andir,99288,0.500271936,207.6,24,81,10940,8107,4122,15129,11033,15112,35727,50839,84.60236887,2020,2
Antapani,79496,0.497622522,336.6,23.6,81,16008,13919,5959,21031,5869,8027,22872,30899,150.9509912,2020,4
Arcamanik,77750,0.500745981,290.8,24,81,13442,10377,4968,16841,7738,9329,22479,31808,178.778135,2020,5
Astana Anyar,73495,0.500578271,297.5,23.9,83,7810,6919,3801,13771,7931,11056,25793,36849,89.80202735,2020,3
Babakan Ciparay,141196,0.509709907,292.3,23.8,83,15471,6170,3773,12570,28234,23838,36763,60601,63.74118247,2020,2
Bandung Kidul,60596,0.500099016,207.3,23,76,8059,6256,3066,11310,6252,8293,19650,27943,107.2678065,2020,3
Bandung Kulon,135114,0.506187368,262.1,24,76,17169,15920,6747,22605,23030,21874,35944,57818,47.36740826,2020,1
Bandung Wetan,28686,0.498012968,262.1,23.8,76,4403,3419,1775,5764,2131,2856,10359,13215,163.8429896,2020,5
Batununggal,120741,0.501370703,262.1,23.7,77,18473,11181,6185,19059,12261,19861,43285,63146,108.4966995,2020,3
Bojongloa Kaler,123761,0.507114519,41.6,24,77,9323,8311,5824,16256,18883,20217,39284,59501,75.14483561,2020,2
Bojongloa Kidul,86851,0.50708685,327.3,23.9,77,8752,4815,2831,8945,14941,13205,24358,37563,57.56986103,2020,2
Buahbatu,102529,0.499439183,327.3,24.2,82,16398,12493,5827,20452,10383,11778,28792,40570,175.5600854,2020,5
Cibeunying Kaler,70261,0.498313431,327.3,24,82,12820,10587,5245,17127,6597,8658,23556,32214,120.9774982,2020,3
Cibeunying Kidul,112583,0.501354556,327.3,23.6,82,10904,8084,3880,14358,10587,16475,38328,54803,79.94102129,2020,2
Cibiru,74157,0.507261621,290.8,24.2,79,9581,5975,3353,10511,9118,10850,23767,34617,97.09130628,2020,3
Cicendo,95826,0.503443742,60.5,23,79,12173,9872,5068,18007,10274,12576,33958,46534,85.57176549,2020,2
Cidadap,53992,0.506538006,207.6,23.9,73,5777,4120,2196,8165,7637,6702,18051,24753,111.1275745,2020,3
Cinambo,25324,0.508568946,207.6,23,83,1789,1906,1052,3376,2847,3698,8359,12057,142.157637,2020,4
Coblong,114318,0.501670778,30.3,24,83,17632,12211,6403,22453,10807,13726,42101,55827,165.3282948,2020,5
Gedebage,40886,0.503252947,336.6,23.7,76,5194,4569,2061,7077,3945,5274,10283,15557,156.5327985,2020,4
Kiaracondong,130396,0.501633486,336.6,23.9,79,17693,12076,6454,20321,15949,18636,45331,63967,85.12531059,2020,2
Lengkong,71082,0.496553276,336.6,23.6,77,14438,13467,5891,20499,4702,7731,22478,30209,136.4621142,2020,4
Mandalajati,72107,0.503543345,297.5,23.8,73,6794,6219,3104,10480,8841,10403,22201,32604,120.654028,2020,3
Panyileukan,40035,0.501136506,41.6,23,77,5087,4830,2069,7535,2977,4526,12485,17011,192.3317098,2020,5
Rancasari,84765,0.497221731,292.3,23.8,83,13885,10683,4533,16798,8321,9140,23682,32822,168.7017047,2020,5
Regol,80549,0.498429527,292.3,24.2,79,12384,8892,4387,15469,6937,9847,28267,38114,83.17918286,2020,2
Sukajadi,102352,0.50047874,290.8,23.8,77,14693,11562,5876,20767,13504,14101,32438,46539,102.5871502,2020,3
Sukasari,77385,0.499799703,87.7,24,73,10600,9113,3923,14595,8002,8306,23016,31322,129.2240098,2020,4
Sumur Bandung,37469,0.50073394,207.6,23.7,79,4950,4635,2197,8455,2793,4571,14587,19158,157.4635032,2020,4
Ujung Berung,87977,0.502949635,207.6,24,83,10444,8955,4563,16012,10155,12983,26522,39505,155.7225184,2020,4
Andir,99493,0.499522579,167.9,23.3,80,11053,8249,4180,15298,11090,15010,35759,50769,123.6267878,2021,4
Antapani,80375,0.497393468,167.9,23.3,80,16188,14342,6156,21904,5918,8000,22852,30852,297.3561431,2021,8
Arcamanik,79731,0.499002897,148.9,23.3,80,13873,10929,5210,17749,7798,9411,23378,32789,164.302467,2021,5
Astana Anyar,73614,0.49925286,167.9,23.3,80,7923,7154,3885,14142,8115,10818,25626,36444,101.882794,2021,3
Babakan Ciparay,142528,0.509387629,167.9,23.4,80,15601,6335,3875,12980,28257,24062,37308,61370,91.91176471,2021,3
Bandung Kidul,61250,0.499216327,167.9,23.6,80,8158,6438,3137,11556,6233,7865,20564,28429,179.5918367,2021,5
Bandung Kulon,136607,0.506196608,167.9,23.8,80,17588,16489,7036,23738,23038,21820,36586,58406,82.71904075,2021,2
Bandung Wetan,28864,0.4970898,167.9,23.8,80,4446,3466,1786,5849,2126,2848,10399,13247,159.368071,2021,4
Batununggal,121639,0.500793331,148.9,23.8,79,18962,12181,6584,20872,11937,19230,44875,64105,97.83046556,2021,3
Bojongloa Kaler,124506,0.50701171,167.9,23.8,79,9633,8525,5949,16822,18899,19994,39977,59971,131.7205597,2021,4
Bojongloa Kidul,87916,0.506654079,167.9,23.8,79,8775,5045,2882,9292,14937,13229,24928,38157,129.6692297,2021,4
Buahbatu,104102,0.498126837,167.9,23.7,79,16653,12924,6005,21050,10286,11906,29249,41155,177.7103226,2021,5
Cibeunying Kaler,70808,0.497076602,167.9,23.3,79,13035,11108,5491,18033,6803,8622,23617,32239,170.8846458,2021,5
Cibeunying Kidul,113568,0.500739645,167.9,24.1,79,11643,9102,4428,16329,10582,16246,39191,55437,123.2741617,2021,4
Cibiru,75777,0.50667089,159.9,23.5,79,9820,6476,3530,11340,9267,10962,24313,35275,124.048194,2021,4
Cicendo,96309,0.503120165,167.9,23.5,79,12405,10141,5246,18552,10281,12674,34288,46962,118.3689998,2021,3
Cidadap,54448,0.507236262,167.9,23.5,73,5878,4275,2233,8308,7609,6669,18310,24979,135.9094916,2021,4
Cinambo,25586,0.506097084,167.9,23.5,83,2014,2128,1145,3739,2845,3615,8481,12096,136.793559,2021,4
Coblong,115061,0.501195018,167.9,23.5,83,17813,12505,6556,23004,10778,13671,42504,56175,150.3550291,2021,4
Gedebage,41738,0.501916719,167.9,23.7,83,5470,4917,2234,7658,4013,5347,10557,15904,203.6513489,2021,6
Kiaracondong,131612,0.50019755,167.9,23.7,79,17602,12267,6482,20650,15900,18460,46043,64503,153.4814455,2021,4
Lengkong,71261,0.494632408,167.9,23.7,77,14373,13566,5891,20850,4757,7596,22442,30038,188.0411445,2021,5
Mandalajati,73532,0.502869499,167.9,23.7,73,6797,6361,3150,10789,8830,10264,23044,33308,148.2347821,2021,4
Panyileukan,40584,0.499655036,167.9,23.7,77,5303,5061,2179,7906,3048,4609,12513,17122,142.9134634,2021,4
Rancasari,86465,0.49621234,167.9,23.7,83,14061,11039,4676,17310,8391,9342,23959,33301,216.2724802,2021,6
Regol,80808,0.497166122,167.9,23.4,79,12445,9258,4568,16077,6853,9761,28615,38376,122.5126225,2021,3
Sukajadi,102766,0.500437888,167.9,23.8,77,14671,11698,5905,21159,13472,14009,32551,46560,209.2131639,2021,6
Sukasari,77601,0.499465213,167.9,24.1,73,10604,9182,3938,14788,7845,8251,23148,31399,172.6781871,2021,5
Sumur Bandung,37921,0.49977585,167.9,24.1,79,5211,4928,2334,8904,2872,4415,14487,18902,142.401308,2021,4
Ujung Berung,90006,0.503088683,177.2,24.1,83,10807,9387,4698,16808,10354,12913,27544,40457,183.3211119,2021,5
